chemical_code,chemical,items,actualcost
0906024N0,Pyridoxine hydrochloride,105835,2691470.562960001
1203010E0,Benzydamine hydrochloride,522649,2683844.0816199887
1310012F0,Fusidic acid,1061286,2680985.5176699962
239410100,DUMMY CHEMICAL SUBSTANCE 239410100,29373,2669662.610950001
0204000K0,Metoprolol tartrate,387865,2662014.782060005
238507085,DUMMY CHEMICAL SUBSTANCE 238507085,30637,2661819.6133300015
0105020E0,Prednisolone sodium phosphate,16015,2659635.3176300004
0501030F0,Demeclocycline hydrochloride,5971,2653709.265359999
238541085,DUMMY CHEMICAL SUBSTANCE 238541085,41665,2643400.580050001
140400070,Hepatitis A/hepatitis B,89067,2612256.292469999
0103030S0,Sucralfate,10907,2607880.83767
0203020I0,Flecainide acetate,428346,2602441.8503800044
0105010C0,Olsalazine sodium,11763,2598064.9840399986
1309000I0,Ketoconazole,670301,2592329.639880012
0407020K0,Diamorphine hydrochloride (Systemic),69194,2590072.002059999
0402020AA,Risperidone,14443,2589092.832870001
200900004,DUMMY CHEMICAL SUBSTANCE 200900004,291283,2571601.9259500033
0603020G0,Dexamethasone,226024,2555690.083420003
0202030C0,Amiloride hydrochloride,161284,2537460.508120005
0803041L0,Letrozole,902963,2531315.0522800013
210200015,DUMMY CHEMICAL SUBSTANCE 210200015,18993,2530901.937719999
0406000G0,Cyclizine lactate,67259,2518328.2668299964
0703010G0,Combined ethinylestradiol 35mcg,302171,2513438.8556299945
0212000P0,Fenofibrate,557735,2509442.3714999966
236034563,DUMMY CHEMICAL SUBSTANCE 236034563,16717,2461379.9480199995
0704050AA,Vardenafil,83986,2456366.8856099993
0205052Q0,Telmisartan,327502,2441169.970940001
0901011W0,Sodium feredetate,197501,2432473.9334800066
0407010Q0,Co-proxamol (Dextropropoxyphene hydrochloride/paracetamol),14259,2429752.36358
0802010G0,Azathioprine,813530,2428971.7937499965
0408010AI,Eslicarbazepine acetate,20521,2428702.30108
