chemical_code,chemical,items,actualcost
0803041C0,Exemestane,142717,1121838.6867399977
226005060,DUMMY CHEMICAL SUBSTANCE 226005060,142611,1780309.633849999
190201000,Other individually formulated bought in preparations,142380,5149858.688179997
0703023L0,Levonorgestrel,141442,11486840.739579989
228010080,DUMMY CHEMICAL SUBSTANCE 228010080,140635,2003060.5047799924
231510015,DUMMY CHEMICAL SUBSTANCE 231510015,140380,3107762.754619999
091200000,Other health supplement preparations,140314,642188.8315899998
238030480,DUMMY CHEMICAL SUBSTANCE 238030480,140114,988272.0154200009
0212000F0,Colestyramine,139021,2355202.778170003
200316000,DUMMY CHEMICAL SUBSTANCE 200316000,138671,7023838.394670003
1307000M0,Salicylic acid,138411,439829.4735700035
0406000A0,Hyoscine,137715,7858992.776499978
1308010W0,Diclofenac sodium,136340,5370802.00659999
0703022P0,Etonogestrel,135147,10483061.867019983
0403040F0,Flupentixol hydrochloride,135094,365970.3680599994
0604012M0,Medroxyprogesterone acetate,135093,1509077.1922900002
0604020T0,Testosterone undecanoate,134923,11130263.692789985
0604011K0,Estradiol valerate,134803,931227.3849399998
